track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2,2023,6,2,277,1,39666245,1
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2,2023,3,1,967,5,138517666,7
Bad Habit,Steve Lacy,1,2022,6,29,8186,12,822633917,155
CUFF IT,Beyonc�,1,2022,7,29,7842,10,595900742,215
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2,2023,6,5,215,6,51985779,6
69,"Nicky Jam, Feid",2,2023,5,18,1134,22,57945987,39
Ni��a Bo,"Sean Paul, Feid",2,2023,4,21,1305,34,115010040,29
Search & Rescue,Drake,1,2023,4,7,2066,6,175097833,58
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyonc�",2,2023,5,19,896,0,57089066,34
Lavender Haze,Taylor Swift,1,2022,10,21,3763,8,488386797,51
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,2023,6,2,197,0,32761689,3
Efecto,Bad Bunny,1,2022,5,6,4004,33,1047480053,34
Erro Gostoso - Ao Vivo,Simone Mendes,1,2023,1,27,984,5,153454328,8
Cupido,Tini,1,2023,2,14,1240,24,217672943,51
Just Wanna Rock,Lil Uzi Vert,1,2022,10,17,3995,13,457184829,72
Unstoppable,Sia,1,2016,1,21,7681,13,939844851,119
Until I Found You,Stephen Sanchez,1,2021,9,1,4427,4,726434358,69
Rich Flex,"Drake, 21 Savage",2,2022,11,4,4657,18,573633020,84
Easy On Me,Adele,1,2021,10,14,10195,20,1406111294,258
Cart��o B,"MC Caverinha, KayBlack",2,2023,5,11,269,4,71573339,7
Danger (Spider) (Offset & JID),"Offset, JID",2,2023,6,2,214,0,24975653,3
Oi Balde - Ao Vivo,Z�� Neto & Crist,1,2023,2,14,845,2,145458418,12
The Real Slim Shady,Eminem,1,2000,1,1,20763,27,1424589568,81
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",3,2022,12,16,1267,20,231332117,41
The Color Violet,Tory Lanez,1,2021,12,10,2585,32,415932686,3
Glimpse of Us,Joji,1,2022,6,10,6330,6,988515741,109
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,5,4,675,1,50847624,9
Curtains,Ed Sheeran,1,2023,5,5,715,0,39893489,37
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2,2023,5,1,327,13,92035115,14
Haegeum,Agust D,1,2023,4,21,244,12,118810253,6
Conex��es de M��fia (feat. Rich ,"Rich The Kid, Matu�",2,2023,4,30,385,4,77233241,17
MIENTRAS ME CURO DEL CORA,Karol G,1,2023,2,24,1020,35,206399629,15
Never Felt So Alone,Labrinth,1,2023,4,7,1730,3,117747907,46
X SI VOLVEMOS,"Karol G, Romeo Santos",2,2023,2,2,2127,33,266624541,45
ceilings,Lizzy McAlpine,1,2022,4,8,3242,9,293186992,67
Cupid,Fifty Fifty,1,2023,2,24,526,10,139681964,15
I AM,IVE,1,2023,4,10,366,15,123132751,16
Cupid ��� Twin Ver. (FIFTY FIFTY) ��� Spe,sped up 8282,1,1997,1,1,472,2,103762518,0
